,log_return,vol_5d,vol_20d,vol_60d,log_vol_5d,log_vol_20d,log_vol_60d,vol_ratio_5_20,vol_ratio_5_60,sma_gap_20d,sma_gap_60d,sma_gap_200d,rsi_14,macd_pct,macd_hist,close,M2_YOY,NFCI,YIELD_SPREAD,CPI_YOY,DEBT_EQUITY,LOAN_DEPOSIT,YIELD_SPREAD_diff,DEBT_EQUITY_diff,regime_label,regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3,regime_prob_4
1999-10-19,0.009642097290636885,0.017700718792225702,0.013345574263540175,0.012101706049306937,-4.034150030496641,-4.3165704649390895,-4.414408840507926,1.3263362402158811,1.4626630923033714,-0.01786553173135208,-0.03704045052669758,-0.02807239685492735,41.340512839044905,-0.010179877448076724,-0.00328079931096848,79.38472747802734,6.576528356333333,-0.076,1.03,2.5609756097561,36.97,0.9935896509542266,0.06000000000000005,0.0,2.0,5.471210404738132e-08,9.028037220919944e-05,0.9999096498540976,1.5053027298846804e-08,9.04354545947558e-12
1999-10-20,0.009794821173043235,0.015115475709292626,0.01358111881339784,0.012122388135736966,-4.19203617858354,-4.29907477339705,-4.412701276848588,1.1129772087982277,1.2469057697246961,-0.007292820894866048,-0.026671141161104805,-0.018687310151594527,45.1534892030956,-0.009646476517238765,-0.002251715000747107,80.16610717773438,6.576528356333333,-0.078,1.04,2.5609756097561,36.97,0.9935896509542266,0.010000000000000009,0.0,2.0,1.0132041076109749e-07,0.0001370899625302,0.999862753240921,5.531691281197309e-08,1.5965266637117984e-10
1999-10-21,0.005830583896465407,0.01532384264652438,0.012780786810221042,0.012142183545839444,-4.178345320629998,-4.359812266182845,-4.411069645781376,1.1989749046020866,1.2620335204680002,-0.0019224109680827661,-0.020120603719941288,-0.013047500121638245,47.364040068370194,-0.008679148822873756,-0.0010619021061246698,80.6348876953125,6.576528356333333,-0.078,1.06,2.5609756097561,36.97,0.9935896509542266,0.020000000000000018,0.0,2.0,1.915235027477845e-07,0.0001683367053998,0.9998312705057398,2.0060328254891986e-07,6.61319102813968e-10
1999-10-22,0.008442659661280275,0.001675839724502483,0.012898909436457422,0.012074842323633029,-6.391440911266852,-4.350612510997704,-4.416631137612979,0.1299210396629266,0.13878771081113903,0.005627929212635552,-0.011320255976847826,-0.004844293157984292,50.49754398737471,-0.007129514948365071,0.00033895412591354503,81.31854248046875,6.576528356333333,-0.078,1.14,2.5609756097561,36.97,0.9895171299481339,0.07999999999999985,0.0,2.0,8.069143637305501e-08,0.0001463782134763,0.9998534633978547,7.63328680248438e-08,1.3646065993742011e-09
1999-10-25,-0.005056396366951078,0.006235829128659242,0.012891998585143458,0.011989067521107533,-5.077443728954312,-4.351148424775814,-4.423760084350924,0.4836976274450818,0.5201262831893022,0.0002297264974779889,-0.015940390972880025,-0.009967137567474693,48.62725610141254,-0.006325579010254675,0.0009445993910016312,80.90840148925781,6.576528356333333,-0.078,1.08,2.5609756097561,36.97,0.9895171299481339,-0.05999999999999983,0.0,2.0,9.180930232522688e-08,0.0001276411710808,0.9998721954220692,7.079616701994367e-08,8.016221735785059e-10
1999-10-26,-0.012633850603358714,0.009724437592379759,0.013208794775523206,0.012087009889409537,-4.633113222267673,-4.32687240037674,-4.415623965919536,0.7362093027896688,0.8045362485307611,-0.012124778515679502,-0.02769389147212309,-0.022483145573811703,44.25559272294385,-0.006680673331934265,0.0005455504640500238,79.89264678955078,6.0486658371353474,-0.078,1.09,2.5609756097561,36.97,0.9895171299481339,0.010000000000000009,0.0,2.0,1.629766701605723e-07,0.0001165001898012,0.9998832628884062,7.335202176013126e-08,5.92629034874149e-10
1999-10-27,0.017930962920367263,0.01193570235836994,0.013494731692814971,0.012308683833891505,-4.428221172295295,-4.3054559146798095,-4.3974502629510654,0.8844712610866425,0.969697696313023,0.004462696852156611,-0.009858651300769128,-0.005059601105206313,51.00580345756609,-0.005280901300069343,0.0014535232946323914,81.33811950683594,6.0486658371353474,-0.087,1.05,2.5609756097561,36.97,0.9895171299481339,-0.040000000000000036,0.0,2.0,3.708069302085244e-07,0.0001296053695837,0.9998697896569616,1.246039174160658e-07,1.0956205729691809e-07
1999-10-28,0.0335332778146169,0.018344010019556413,0.015026936648468457,0.012927003923262806,-3.998452187223215,-4.197910911794346,-4.348436828186692,1.2207418217488812,1.419045753250328,0.03639170875540265,0.023348379609482217,0.028390020119895887,60.81227923036007,-0.0014473172736146319,0.004052019507923865,84.11190032958984,6.0486658371353474,-0.087,1.01,2.5609756097561,36.97,0.9895171299481339,-0.040000000000000036,0.0,2.0,1.2876081324140306e-06,0.0001979319510141,0.99953806870446,3.45428710144714e-07,0.0002623663072681
1999-10-29,0.017952547621879877,0.018830483443637684,0.015387398378942433,0.013076540559959408,-3.9722782625248767,-4.17420639162384,-4.336935451118461,1.2237600522130558,1.4400202681508096,0.05171032170134038,0.041152555752325126,0.04634814917608532,64.9610518477518,0.0028300337964985616,0.006585219515706731,85.63555908203125,6.0486658371353474,-0.087,0.9,2.5609756097561,36.97,0.9928081115853301,-0.10999999999999999,0.0,2.0,3.6956563098140976e-06,0.0002309754969109,0.9959831448366548,4.484730425289141e-07,0.0037817355372261
1999-11-01,-0.010549170685739247,0.020072873848363662,0.015289339514974427,0.013070358738009056,-3.9083859351759664,-4.180599457163568,-4.337408304285109,1.3128672974201552,1.5357553874930034,0.03875519757523249,0.029502815162939733,0.034885551494052036,60.86806946332923,0.005347820661294039,0.007314264128176389,84.73692321777344,6.0486658371353474,-0.087,0.9,2.5609756097561,36.97,0.9928081115853301,0.0,0.0,2.0,4.686079343589981e-06,0.0001277123420015,0.9873208756152644,8.969408264095738e-07,0.0125458290221845
