,log_return,vol_5d,vol_20d,vol_60d,log_vol_5d,log_vol_20d,log_vol_60d,vol_ratio_5_20,vol_ratio_5_60,sma_gap_20d,sma_gap_60d,sma_gap_200d,rsi_14,macd_pct,macd_hist,M2_YOY,NFCI,YIELD_SPREAD,CPI_YOY,DEBT_EQUITY,LOAN_DEPOSIT,YIELD_SPREAD_diff,DEBT_EQUITY_diff,regime_label,regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3,regime_prob_4,close
1999-11-16,0.008330795897911527,0.0026602408752206745,0.010961061052341438,0.012504568980813303,-5.92933860569411,-4.5134061908031615,-4.381661182994418,0.24269921155602078,0.21274150906780406,0.04693823187574786,0.06416190089240259,0.07219820721815129,69.324126955205,0.017681041683265494,0.004405597533926048,6.0486658371353474,-0.129,0.68,2.495435179549599,36.97,0.9947572694278566,0.030000000000000027,0.0,4,6.834998860459091e-10,7.036600120865994e-11,0.0014692814946665935,5.311471944545484e-10,0.998530717221162,88.51953887939453
1999-11-17,0.002651528165305762,0.0030906495547794424,0.010923793187607563,0.012501104919670866,-5.779373998261177,-4.516812007478894,-4.381938245006694,0.28292823762771463,0.24723011082934054,0.04454040906375312,0.0663123612650176,0.07442244066926174,70.02373545230776,0.01856940411640625,0.004263290844140261,6.0486658371353474,-0.146,0.8,2.495435179549599,36.97,0.9947572694278566,0.12,0.0,4,1.1676435705860054e-09,1.1032266725957809e-10,0.00186383207489381,4.4429330894538467e-10,0.998136166203126,88.75456237792969
1999-11-18,0.007036418889531076,0.0031585143290207554,0.010932176589921346,0.012466368199459552,-5.757653510982096,-4.516044857559648,-4.384720804736178,0.28891907325506166,0.2533628301751656,0.04665721123421451,0.0732171476721648,0.0812645259771212,71.86632743282517,0.019515961981193226,0.004248127349956096,6.0486658371353474,-0.146,0.83,2.495435179549599,36.97,0.9947572694278566,0.029999999999999916,0.0,4,1.9407000176019234e-09,1.359583156238498e-10,0.00201701270824125,4.330745453749143e-10,0.9979829847828459,89.38127899169922
1999-11-19,-0.0008772659618085154,0.0037506038562355407,0.010977151441923856,0.01235806833627907,-5.5858384236340095,-4.511939308077705,-4.393446122638694,0.3416736915837074,0.3034943450850687,0.04100061337082961,0.07144763068586202,0.07952021498188966,71.27626571466044,0.02008483567182366,0.0038428809697653825,6.0486658371353474,-0.146,0.84,2.495435179549599,36.97,1.003311178683637,0.010000000000000009,0.0,4,4.706645269501393e-09,1.20885949253628e-10,0.0019058914847593664,5.192996581217856e-10,0.9980941031676355,89.30290222167969
1999-11-22,-0.0002192445266217773,0.004168009900058351,0.010806165361807124,0.012241942187217093,-5.480316599279969,-4.527638440900454,-4.402887339059338,0.38570665546074256,0.34046966047679456,0.03584196673718365,0.07016863361748404,0.07850013597483207,71.11919224020983,0.020275184946653257,0.003223735115628741,6.0486658371353474,-0.146,0.82,2.495435179549599,36.97,1.003311178683637,-0.020000000000000018,0.0,4,4.669196423379865e-09,9.345037360398834e-11,0.0012178299214406097,3.210417612892105e-10,0.9987821649952642,89.2833251953125
1999-11-23,-0.008811931873197683,0.00580947234764862,0.01051150981653698,0.012038428288842535,-5.148265530203169,-4.5552844491740725,-4.4196513884164625,0.5526772508464015,0.48257731061395776,0.021774540780725493,0.05958213122813083,0.06820184273479835,64.95160679607844,0.019662457371923764,0.001968069883221131,6.0486658371353474,-0.146,0.81,2.495435179549599,36.97,1.003311178683637,-0.009999999999999898,0.0,4,2.5084046042576346e-09,9.911196225628699e-11,0.000795867141365574,2.7768278869962145e-10,0.9992041299730811,88.5000228881836
1999-11-24,0.005296351587230514,0.00622203472809786,0.010062725847275798,0.012033088680205526,-5.079658299021487,-4.5989171920395595,-4.420095033802954,0.6183249770023599,0.517077110744902,0.02281810651987315,0.06384171468279698,0.073035931085218,66.81131362633732,0.019139711698836395,0.0012310337354527572,6.0486658371353474,-0.161,0.8,2.495435179549599,36.97,1.003311178683637,-0.010000000000000009,0.0,4,1.0347134771970991e-09,1.4890818061675154e-10,0.0007839684514616745,4.038468304135662e-10,0.9992160299603547,88.9699935913086
1999-11-26,-0.003748739962911731,0.005162157988418783,0.007500046245714021,0.011962641484565186,-5.266400572106263,-4.89284609236368,-4.425966694932135,0.688283487767659,0.4315232547158806,0.0164736428136929,0.058786646189483927,0.06832083592039306,64.21221348387189,0.018363638345687678,0.00031015952989222467,5.740402193784266,-0.161,0.82,2.495435179549599,36.97,1.0083930154579106,0.019999999999999907,0.0,4,2.9038809033028835e-10,2.571254061069679e-10,0.0014150187533029147,1.1725400722743257e-09,0.998584979526818,88.63709259033203
1999-11-29,-0.003541688907569192,0.005196992387626999,0.0066610818369494795,0.011858727028004544,-5.259675207719845,-5.011473369641057,-4.434691224393707,0.7802024528206402,0.4382420115881099,0.011448897992801355,0.053833870529065075,0.0638075113443497,61.7759778798319,0.017269036914332753,-0.000678796054694758,5.740402193784266,-0.161,0.85,2.495435179549599,36.97,1.0083930154579106,0.030000000000000027,0.0,4,1.362673514420315e-10,6.172382095966369e-10,0.005198876484732875,7.009550597765349e-09,0.9948011157525609,88.32372283935547
1999-11-30,-0.011821323874804522,0.006512345069799119,0.006786361067842867,0.011402960732240286,-5.034055661851792,-4.992840406278011,-4.473882243946951,0.9596225436129281,0.5711100145584443,-0.0017693920050075862,0.04097024537877836,0.05061539287065919,54.41214168435389,0.01540720032664398,-0.002203247034543802,5.740402193784266,-0.161,0.88,2.495435179549599,36.97,1.0083930154579106,0.030000000000000027,0.0,4,4.5118000932333377e-10,3.504154047489872e-09,0.02405441067983018,6.64132267477977e-08,0.9759455189519295,87.2857666015625
1999-12-01,0.00804475544148429,0.007944332407952379,0.006631509212132256,0.01143141962508673,-4.83529650921334,-5.01592286688324,-4.471389607217926,1.1979674842972894,0.6949558907380329,0.004201853808330602,0.048683691868146584,0.05835639677312732,58.0683925510198,0.014142132030048118,-0.0026617695368888333,5.740402193784266,-0.168,0.94,2.495435179549599,36.97,1.0083930154579106,0.05999999999999994,0.0,4,2.519584863076392e-10,1.0300730392130545e-08,0.07264272397718942,1.7468094647635062e-07,0.9273570907900216,87.99079132080078
1999-12-02,0.00599114102336186,0.008090106724569831,0.006607168009192898,0.011428746288838498,-4.817113355839317,-5.019600157289499,-4.4716234932072485,1.224443924131132,0.7078735077416813,0.00816321923541885,0.05409099118911276,0.06397242953978077,60.61932339093204,0.013484865863513626,-0.0025749297085797106,5.740402193784266,-0.168,0.99,2.495435179549599,36.97,1.0083930154579106,0.050000000000000044,0.0,4,8.87147279921482e-11,1.25188511617834e-08,0.218415165001738,5.194060955031049e-07,0.7815843029844343,88.51953887939453
1999-12-03,0.018196395714772634,0.01147925758573106,0.007445657385884695,0.011644947845584903,-4.467213560414413,-4.900124317767165,-4.452882854351877,1.5417386257247305,0.9857714897437979,0.024003802775514504,0.07218405856828736,0.08266953045777448,67.22121180585692,0.014088567188773325,-0.0013453125634939264,5.740402193784266,-0.168,0.92,2.495435179549599,36.97,1.0024038314847525,-0.06999999999999995,0.0,4,2.1387134409297976e-10,1.7197448154132814e-08,0.5466930833332841,5.325616181393933e-07,0.45330636669389673,90.14501953125
1999-12-06,-0.007413650776574834,0.012172104802454604,0.007564920145410692,0.011657618521930063,-4.408608436858403,-4.884233487592548,-4.45179536232254,1.6090196021221572,1.0441330516654581,0.01466828783356311,0.0633019702351556,0.07401519039401072,62.59235069977826,0.0141064849964388,-0.0011537930725261693,5.740402193784266,-0.168,0.94,2.495435179549599,36.97,1.0024038314847525,0.019999999999999907,0.0,2,3.435170173701979e-08,7.927800416378943e-08,0.9874335942379979,2.60471630526582e-07,0.012566031659762176,89.47918701171875
1999-12-07,-0.008131216772892223,0.011147932025392326,0.007881172340111764,0.011673635363512215,-4.496501266852111,-4.843278612052264,-4.450422367611074,1.4145017447028998,0.9549666130772718,0.005156547186040861,0.053768891107840444,0.06470997898332675,57.918071200956156,0.013339642815478166,-0.0016361805856932692,5.740402193784266,-0.168,0.89,2.495435179549599,36.97,1.0024038314847525,-0.04999999999999993,0.0,2,1.2722393727346566e-05,2.0592858477570154e-07,0.997265796754159,1.5741432928045885e-08,0.0027212591828133224,88.75456237792969
1999-12-08,-0.006419294036668658,0.011492390398988842,0.007691134353997129,0.011671472199286595,-4.46607016707169,-4.8676869960704465,-4.450607688173508,1.4942386740411286,0.9846564514535965,-0.002696347111783237,0.046113755908075316,0.057241551715002226,54.48392960671382,0.012063338272358302,-0.0024071428486875223,5.740402193784266,-0.171,0.93,2.495435179549599,36.97,1.0024038314847525,0.040000000000000036,0.0,2,0.0027956269686254275,1.483914792548238e-05,0.9949573222155541,1.903070104223501e-08,0.002232192637437906,88.1866455078125
1999-12-09,0.004873387940271408,0.011367722803700733,0.007608443768790353,0.01147048862630843,-4.476977272395543,-4.878496626209013,-4.467977748372602,1.4940930299479702,0.9910408504854802,0.0008679388543513245,0.04994433344377902,0.06167411323383809,56.5868267548387,0.01119363002917161,-0.0025652019049594663,5.740402193784266,-0.171,0.89,2.495435179549599,36.97,1.0024038314847525,-0.040000000000000036,0.0,0,0.7222766204634552,8.260451740931603e-08,0.26674180467815123,1.002198379653839e-08,0.010981482231191655,88.61746215820312
