,log_return,vol_5d,vol_20d,vol_60d,vol_ratio_5_20,vol_ratio_5_60,sma_gap_20d,sma_gap_60d,sma_gap_200d,rsi_14,macd_pct,macd_hist,M2_YOY,NFCI,YIELD_SPREAD,CPI_YOY,DEBT_EQUITY,LOAN_DEPOSIT,regime_label,close
1999-10-18,0.0072304269422615725,0.015142080099366389,0.013776677091678785,0.012048882916441513,1.0991097489330222,1.256720660693283,-0.028698844520379296,-0.04716897731142111,-0.037215880450926275,37.400478466569496,-0.009682177688564062,-0.003544402265618131,6.576528356333333,-0.085,0.97,2.5609756097561,36.97,0.9935896509542266,1,78.82547760009766
1999-10-19,0.009643327359747888,0.017701123705003735,0.013345624305204492,0.012101665826259026,1.3263616073847289,1.4627014131058405,-0.017864940669128804,-0.0370398548526949,-0.028071755673046317,41.34065013162015,-0.010179839592385618,-0.003280774619874128,6.576528356333333,-0.085,1.03,2.5609756097561,36.97,0.9935896509542266,2,79.58929443359375
1999-10-20,0.009794164390062596,0.015115507031348722,0.013581139816007278,0.012122336735988148,1.1129777939207266,1.2469136405421415,-0.007292842694515023,-0.02667117518236739,-0.01868730889275838,45.1534126308937,-0.00964645376037343,-0.002251703634660378,6.576528356333333,-0.087,1.04,2.5609756097561,36.97,0.9935896509542266,2,80.37263488769531
1999-10-21,0.005830556062575664,0.015323886688354018,0.012780789205530128,0.012142132025599502,1.1989781258361976,1.2620425025890312,-0.001922439714252433,-0.020120661735029022,-0.013047525968610252,47.363983959385706,-0.008679135234401426,-0.0010619001312899114,6.576528356333333,-0.087,1.06,2.5609756097561,36.97,0.9935896509542266,2,80.84262084960938
1999-10-22,0.008443235191331826,0.001676109652517768,0.012898925460933677,0.01207478961802266,0.12994180465606353,0.13881067128623348,0.0056284396780297286,-0.011319758601216034,-0.0048437495070107195,50.49773015503382,-0.007129458425884575,0.0003389866534256186,6.576528356333333,-0.087,1.14,2.5609756097561,36.97,0.9895171299481339,2,81.52808380126953
1999-10-25,-0.005057287681086555,0.006236362967732237,0.012892041108702589,0.01198902266160317,0.48373744042147593,0.5201727566755897,0.00022933843922601227,-0.015940769205301186,-0.009967478353293369,48.62710362702828,-0.0063255695907451165,0.0009445929857086434,6.576528356333333,-0.087,1.08,2.5609756097561,36.97,0.9895171299481339,2,81.11681365966797
1999-10-26,-0.012633760310085519,0.009724509352842076,0.013208835131830347,0.012086962552757449,0.7362124862477977,0.8045453363817681,-0.012125059221817613,-0.02769417027367549,-0.0224833897571467,44.25547960205489,-0.00668068862831982,0.0005455248743081323,6.0486658371353474,-0.087,1.09,2.5609756097561,36.97,0.9895171299481339,2,80.09844970703125
1999-10-27,0.017930864661226658,0.011935855721963052,0.013494762449500456,0.012308635439618939,0.8844806099128398,0.9697139687429538,0.004462327761912466,-0.009859022715760002,-0.005059945315340819,51.005679096959646,-0.005280944068100549,0.0014534815498009022,6.0486658371353474,-0.096,1.05,2.5609756097561,36.97,0.9895171299481339,2,81.54763793945312
1999-10-28,0.03353359400022098,0.018344243479005314,0.01502702113682539,0.01292697307119159,1.2207504941914737,1.4190671998757685,0.036391630651860574,0.023348324908181617,0.02838999299502909,60.81226858694162,-0.0014473530105754563,0.0040519900626341775,6.0486658371353474,-0.096,1.01,2.5609756097561,36.97,0.9895171299481339,2,84.3285903930664
1999-10-29,0.0179519706671169,0.018830667329293845,0.015387457756877967,0.013076498199964414,1.223767280262837,1.4400389952521915,0.051709663925885385,0.041151914002633294,0.04634752332375558,64.96092124723675,0.002829957786047723,0.006585166144264178,6.0486658371353474,-0.096,0.9,2.5609756097561,36.97,0.9928081115853301,2,85.85612487792969
1999-11-01,-0.010547790066688,0.020072531314150256,0.015289330477214737,0.013070291400593879,1.3128456699960662,1.5357370925363005,0.038755942167934654,0.02950358641027573,0.034886357920901334,60.86843615071014,0.005347815729823862,0.0073142742946840835,6.0486658371353474,-0.096,0.9,2.5609756097561,36.97,0.9928081115853301,2,84.95529174804688
1999-11-02,-0.007171694029778143,0.018684654975309762,0.015411144721412164,0.013104829336239748,1.2124118819901417,1.425783922545234,0.02976716804409385,0.02151763325083511,0.027081938166848563,58.20705722508289,0.006713966202656409,0.006955662638719296,6.0486658371353474,-0.096,0.9,2.5609756097561,36.97,0.9928081115853301,2,84.34819793701172
1999-11-03,0.006710170388171578,0.018212806320353023,0.015128411045433587,0.013036365869806,1.2038809803393358,1.3970769539796644,0.03556141248693434,0.027458815888726562,0.03358887239533548,59.97022586810399,0.008159789507863308,0.0067198956390929305,6.0486658371353474,-0.112,0.89,2.5609756097561,36.97,0.9928081115853301,2,84.91609191894531
1999-11-04,0.0075821504969581024,0.011675655311930263,0.01510772001001236,0.012983994822783774,0.7728270913276417,0.8992344398845807,0.04158974205228705,0.03440574992798062,0.0408720443912336,61.93823506335254,0.009767549107227989,0.0066708251566756065,6.0486658371353474,-0.112,0.85,2.5609756097561,36.97,0.9928081115853301,4,85.56238555908203
1999-11-05,0.009793407361879686,0.009394273231380767,0.014908185389807229,0.013033749469890572,0.6301419646822785,0.7207652144214215,0.05023814799082893,0.043518586693098715,0.05046234676036243,64.39442442814358,0.011634743029526917,0.006854558829628155,6.0486658371353474,-0.112,0.78,2.5609756097561,36.97,0.9936841541953473,4,86.40444946289062
1999-11-08,0.0009065924503197392,0.00684043819348262,0.014891129201085818,0.012712760615223135,0.45936329616855615,0.5380765358935028,0.04945453037555603,0.043778069080731674,0.05080647405394667,64.62323482755801,0.013100105914988123,0.0066594027441194805,6.0486658371353474,-0.112,0.75,2.5609756097561,36.97,0.9936841541953473,4,86.48281860351562
1999-11-09,-0.00944183396695451,0.007746496491523409,0.014580176136423822,0.012768622463260193,0.5313033545713697,0.6066822410806489,0.03757660395484619,0.033535571514440754,0.040469087017951155,60.29587983397978,0.013484220107958812,0.005585933514237048,6.0486658371353474,-0.112,0.78,2.5609756097561,36.97,0.9936841541953473,4,85.67010498046875
1999-11-10,0.007401993103497548,0.007832575424517166,0.013021060138965517,0.012776276831037736,0.6015313147259175,0.613056176545055,0.04151792938404952,0.040758861747124175,0.04763512090344313,62.41835699583703,0.01402261439151915,0.004946060017578625,6.0486658371353474,-0.129,0.8,2.5609756097561,36.97,0.9936841541953473,4,86.30658721923828
1999-11-11,0.005656695351347006,0.0076104238889566885,0.012996544460530206,0.01275378927248066,0.5855728737795749,0.5967186477965409,0.04334532497398125,0.045975223921998154,0.05306324369303406,64.01202868542782,0.01473149880783965,0.004564914234839769,6.0486658371353474,-0.129,0.8,2.5609756097561,36.97,0.9936841541953473,4,86.79618072509766
1999-11-12,0.008984748511699251,0.007432854089927077,0.01096712856691763,0.012744647274937718,0.6777393047391,0.58321379396225,0.04689622397934401,0.05441207254491509,0.062036752359949876,66.46256419069576,0.015758718876131075,0.004546455506080141,6.0486658371353474,-0.129,0.7,2.5609756097561,36.97,0.9947572694278566,4,87.57953643798828
1999-11-15,0.00234505478942289,0.007373608425208483,0.010983930516677794,0.012689421337768297,0.671308728147227,0.5810831108004874,0.04376472284683208,0.056018105890462744,0.06395554892410504,67.09591463991887,0.01663540254746481,0.0043595213949729605,6.0486658371353474,-0.129,0.65,2.5609756097561,36.97,0.9947572694278566,4,87.78515625
1999-11-16,0.00833079661893218,0.0026600985855841485,0.010961032262610155,0.012504539890209694,0.24268686760992145,0.21273062495221007,0.04693821721722613,0.06416178477261925,0.07219810390747639,69.32408964424886,0.01768103370762346,0.004405596494718004,6.0486658371353474,-0.129,0.68,2.495435179549599,36.97,0.9947572694278566,4,88.51953125
1999-11-17,0.002651614354128614,0.0030904870143170426,0.010923782376810858,0.0125010712654284,0.28291363812570697,0.2472177742769739,0.04454046533689349,0.0663123482331398,0.07442243024995499,70.02372118269666,0.01856939627819476,0.004263291020955563,6.0486658371353474,-0.146,0.8,2.495435179549599,36.97,0.9947572694278566,4,88.75456237792969
1999-11-18,0.007036248173800158,0.003158344405067385,0.010932162907490285,0.01246635037227745,0.2889038913702441,0.25334956188066726,0.046657093334087074,0.07321694151702496,0.08126433090983287,71.86627064940942,0.019515945272891206,0.004248118410254322,6.0486658371353474,-0.146,0.83,2.495435179549599,36.97,0.9947572694278566,4,89.38126373291016
1999-11-19,-0.0008770098133088581,0.0037504706376367183,0.01097713095956379,0.012358063584386103,0.341662193104213,0.3034836818913346,0.04100075322649466,0.07144769933800976,0.07952029675446548,71.27637983019956,0.02008482496110089,0.0038428817529320876,6.0486658371353474,-0.146,0.84,2.495435179549599,36.97,1.003311178683637,2,89.30290985107422
1999-11-22,-0.00021915905639483386,0.004167884979845383,0.010806146747681435,0.012241927418717692,0.38569575975262815,0.3404598669219979,0.035842185024754114,0.07016878226002654,0.07850030737253144,71.11936668318653,0.02027518807323755,0.003223747924829476,6.0486658371353474,-0.146,0.82,2.495435179549599,36.97,1.003311178683637,2,89.28334045410156
1999-11-23,-0.008812792439035523,0.005809745209351141,0.010511533170675338,0.012038453118499857,0.5527019812446523,0.4825989811284914,0.021773903603220957,0.05958138918217837,0.06820109669099117,64.95119471960527,0.019662421058102786,0.0019680368038012333,6.0486658371353474,-0.146,0.81,2.495435179549599,36.97,1.003311178683637,2,88.49996185302734
1999-11-24,0.005296955497623298,0.006222411573872775,0.010062784540845467,0.012033113309862386,0.6183588199285814,0.5171073697754398,0.022818059180446992,0.06384161375065722,0.07303583166457184,66.81111515695436,0.019139668127757734,0.0012310099559409565,6.0486658371353474,-0.161,0.8,2.495435179549599,36.97,1.003311178683637,2,88.96998596191406
1999-11-26,-0.0037484820614523888,0.00516264930276893,0.007500017900833842,0.011962665951538227,0.6883515974268479,0.4315634427713069,0.016473840032091847,0.058786813984764485,0.06832101098939325,64.21222079127303,0.018363614377477914,0.0003101599568561715,5.740402193784266,-0.161,0.82,2.495435179549599,36.97,1.0083930154579106,2,88.6371078491211
1999-11-29,-0.0035424657160767446,0.005197522792075051,0.006661106156364469,0.011858761969211214,0.7802792314169904,0.4382854471292474,0.011448321758437352,0.05383323331859913,0.06380686077161135,61.77548880950484,0.017268984019457374,-0.0006788300442849976,5.740402193784266,-0.161,0.85,2.495435179549599,36.97,1.0083930154579106,2,88.32366943359375
